procedure_name,category,instructions,duration,warning_signs,follow_up,image_url,document_url,is_favorite,version,parent_id,tags,id,created_date,updated_date,created_by_id,created_by,is_sample
"Sculptra Injection","General","<h2><strong>Tips to Follow After Your Injection</strong></h2><h3><strong>Remember the Rule of 5</strong></h3><p>Massage the treated area for <strong>5 minutes, 5 times per day for 5 days</strong> after your treatment, according to your specialist's advice.</p><h3><strong>Have an Ice Pack Ready</strong></h3><p>Within the first 24 hours after your treatment, apply an ice pack or ice wrapped in a cloth (avoid putting ice directly on your skin) to the treatment area to help reduce swelling.</p><h3><strong>Swelling, Lumps and Bumps</strong></h3><p>After your injections, it is expected that you will have swelling and this may appear uneven. This is due to:</p><ul><li>The product itself</li><li>The injection sites' reaction</li><li>The body's unique initial response to treatment</li></ul><p>This is part of the treatment that intentionally stimulates tissue production. It does <strong>NOT</strong> reflect your final results. Please be patient following your injections and allow the swelling to dissipate naturally in the days or week after treatment.</p><h3><strong>About the Use of Makeup</strong></h3><p>You may apply makeup a few hours after your Sculptra Aesthetic treatment if no complications are present (for example, open wounds or bleeding).</p><h3><strong>No Sun Exposure</strong></h3><ul><li>Avoid excessive sunlight and UV exposure</li><li>Avoid sun and UV sunlamp exposure until swelling and redness have disappeared</li></ul><h3><strong>Follow Up</strong></h3><p>Sculptra is most often recommended as a protocol of multiple injection sessions. Your provider will advise you on the recommended individual protocol best suited for you, your goals and your level of aging.</p><h3><strong>Final Results</strong></h3><p>It takes up to <strong>12 weeks</strong> to fully achieve the correction and plump new tissue that your Sculptra treatment can provide for you.</p><p>After that time period, your provider can assess your improvements and further treatment can be done, if desired.</p>","12 weeks for full results","<p><strong>Sculptra is well tolerated by most, if not all, patients and complications are rare or not experienced.</strong></p><p>However, as with all treatments and care, allergic responses or complications may arise that are unique to you.</p><ul><li>Contact our office with concerns during office hours: <strong>239-561-9191</strong></li><li>If you think you are having a life-threatening emergency, <strong>call 911</strong> and go to the emergency room immediately</li></ul>","<p>Multiple injection sessions are typically recommended. Your provider will discuss:</p><ul><li>Your individual treatment protocol</li><li>Number of sessions needed</li><li>Timing between treatments</li><li>Assessment of results after 12 weeks</li></ul>","","","false","","","","695b0218e0c9d47610e8fcdf","2026-01-05T00:13:12.243000","2026-01-05T00:13:12.243000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cologuard Order Form","Provider Forms","Cologuard® Order Requisition Form - Stool-based DNA test with hemoglobin immunoassay component for colorectal cancer screening. Complete form with provider and patient information, insurance details, and fax to 844-870-8875.","","","","","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/695939a556b8082002a35a68/59ad7f6fd_CologuardOrderForm.pdf","false","","","","695a8967110f8db5de94eebd","2026-01-04T15:38:15.169000","2026-01-04T15:38:15.169000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Hormone Pellet Insertion","Hormone Therapy","Keep the insertion site clean and dry for 48 hours. Avoid swimming, bathing, or hot tubs for 3 days. You may shower after 24 hours. Avoid strenuous exercise or heavy lifting for 3-5 days. Apply ice to the area for 15-20 minutes several times a day to reduce swelling. Take over-the-counter pain medication as needed.","3-5 days recovery, pellet lasts 3-6 months","Contact us immediately if you experience: excessive bleeding, severe pain, signs of infection (redness, warmth, pus), fever over 100.4°F, or pellet extrusion.","Return for follow-up blood work in 4-6 weeks to check hormone levels. Schedule your next pellet insertion in 3-6 months.","","","true","","","","695953c738b9830858e50fee","2026-01-03T17:37:11.557000","2026-01-03T17:37:11.557000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"CO2 Laser Vaginal Rejuvenation","Gynecology","Avoid sexual intercourse for 3-7 days. Do not use tampons for one week. Avoid hot baths, swimming, and hot tubs for 3 days. You may experience mild discharge or spotting, which is normal. Use a panty liner if needed. Avoid douching for 2 weeks. Stay well-hydrated and maintain good hygiene.","3-7 days for initial recovery, full results in 4-6 weeks","Call if you experience: heavy bleeding, severe pain, foul-smelling discharge, fever, or signs of infection.","Schedule your next treatment session in 4-6 weeks for optimal results. Most patients benefit from 2-3 treatments.","","","true","","","","695953c738b9830858e50fef","2026-01-03T17:37:11.557000","2026-01-03T17:37:11.557000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Botox Injection","General","Remain upright for 4 hours after treatment. Avoid lying down or bending over. Do not massage or rub the treated areas for 24 hours. Avoid strenuous exercise, alcohol, and excessive sun or heat exposure for 24 hours. You may apply makeup after 4 hours. Avoid other facial treatments for 2 weeks.","No downtime, results visible in 3-7 days","Call if you experience difficulty swallowing, speaking, or breathing, drooping eyelids, vision problems, or severe headache.","Results last 3-4 months. Schedule your next appointment when you notice movement returning to treated areas.","","","false","","","","695953c738b9830858e50ff1","2026-01-03T17:37:11.557000","2026-01-03T17:37:11.557000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Body Sculpting Laser Treatment","General","Drink plenty of water (at least 64 oz daily) to help flush out destroyed fat cells. Maintain a healthy diet and exercise routine. The treated area may be slightly tender, red, or swollen for 1-3 days. Wear comfortable, loose-fitting clothing. You can return to normal activities immediately, but avoid intense exercise for 24 hours.","Minimal downtime, results visible in 4-12 weeks","Contact us if you experience severe pain, excessive swelling, blistering, or signs of infection.","Return for your next treatment session as scheduled. Optimal results typically require 3-6 sessions spaced 2-4 weeks apart.","","","false","","","","695953c738b9830858e50ff0","2026-01-03T17:37:11.557000","2026-01-03T17:37:11.557000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"IUD Insertion","Gynecology","After Your IUD Insertion:

First 24 Hours:
• Rest as needed
• Take ibuprofen or acetaminophen for cramping
• Use a heating pad for comfort
• Light spotting is normal
• Avoid sexual intercourse for 24 hours

First Week:
• You may experience cramping and irregular bleeding
• Avoid tampons for 24-48 hours (use pads)
• No douching or swimming in pools/hot tubs for 24 hours
• Check for IUD strings after your next period

Ongoing Care:
• Check strings monthly after your period
• Your IUD is effective immediately if inserted during your period, or after 7 days if inserted at other times
• Use backup contraception for 7 days if not inserted during period
• Annual check-ups recommended

String Check:
Insert clean finger into vagina and feel for thin strings at cervix. Strings should feel like fishing line. If you cannot feel strings or feel the hard plastic of the IUD, contact us immediately.","1-2 weeks for initial adjustment","• Severe abdominal pain
• Heavy bleeding (soaking through a pad per hour for 2+ hours)
• Fever over 100.4°F
• Foul-smelling discharge
• Cannot feel IUD strings or can feel the hard plastic of the IUD
• Signs of pregnancy (missed period, nausea)","Follow-up appointment in 4-6 weeks to check IUD placement. Annual check-ups thereafter.","","","","","","","69593d53c98b3add2b7ee776","2026-01-03T16:01:23.416000","2026-01-03T16:01:23.416000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Hormone Pellet Insertion","Hormone Therapy","After Your Hormone Pellet Insertion:

Immediate Care (First 24 Hours):
• Keep the insertion site clean and dry
• Leave the bandage in place for 24 hours
• Avoid getting the area wet (no swimming, hot tubs, or baths)
• You may shower after 24 hours, but keep area covered
• Apply ice pack for 20 minutes every 2-3 hours to reduce swelling

First Week:
• Avoid strenuous exercise for 3-4 days
• No heavy lifting over 15 pounds for 3 days
• Avoid direct pressure on insertion site
• You may notice slight bruising or tenderness - this is normal
• Small sterile strips will fall off on their own in 5-7 days

Ongoing:
• Pellets will dissolve completely over 3-6 months
• You should notice improvement in symptoms within 2-4 weeks
• Optimal results typically seen at 4-6 weeks
• Schedule follow-up before pellets are expected to wear off

Activity Restrictions:
• No vigorous exercise for 3-4 days
• No swimming, hot tubs, or submerging in water for 3-4 days
• Avoid activities that cause excessive sweating for 3 days","3-4 days for initial healing","• Signs of infection (increased redness, warmth, swelling, or discharge at insertion site)
• Fever over 100.4°F
• Pellet extrusion (pellet coming out)
• Severe pain at insertion site
• Bleeding that doesn't stop with pressure","Follow-up appointment in 4-6 weeks to assess hormone levels and symptom improvement. Schedule next insertion in 3-6 months based on individual response.","","","","","","","69593d53c98b3add2b7ee777","2026-01-03T16:01:23.416000","2026-01-03T16:01:23.416000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Pap Smear / Cervical Screening","Gynecology","After Your Pap Smear:

• You may experience light spotting for 1-2 days. This is normal.
• Avoid sexual intercourse for 24 hours.
• Do not use tampons, douches, or vaginal medications for 24 hours.
• You may take over-the-counter pain medication if needed for cramping.
• Continue your normal daily activities.

Results:
• Results typically available within 1-2 weeks.
• We will contact you with results and any necessary follow-up.
• No news is good news - we typically only call if follow-up is needed.

Contact us if you experience:
• Heavy bleeding (soaking through a pad per hour)
• Severe abdominal pain
• Fever over 100.4°F
• Foul-smelling discharge","1-2 days","• Heavy bleeding (more than a normal period)
• Severe cramping not relieved by over-the-counter medication
• Fever or chills
• Unusual discharge with odor","Results will be available in 1-2 weeks. We will contact you if any abnormalities are found or if follow-up is needed.","","","","","","","69593d53c98b3add2b7ee775","2026-01-03T16:01:23.416000","2026-01-03T16:01:23.416000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Testosterone Injection (Self-Administration)","Mens Health","Self-Administering Testosterone Injections:

Before Injection:
• Wash hands thoroughly with soap and water
• Gather supplies: testosterone vial, syringe, needle, alcohol wipes, cotton ball, bandage
• Allow testosterone to reach room temperature

Injection Sites:
• Thigh (vastus lateralis muscle) - recommended for self-injection
• Gluteus muscle (upper outer buttock)
• Rotate injection sites to prevent tissue damage

Step-by-Step:
1. Clean injection site with alcohol wipe and let dry
2. Draw prescribed dose into syringe
3. Remove air bubbles by tapping syringe
4. Insert needle at 90-degree angle with quick, dart-like motion
5. Aspirate (pull back slightly) to check for blood
6. Inject medication slowly and steadily
7. Remove needle quickly and apply pressure with cotton ball
8. Apply bandage if needed
9. Dispose of needle in sharps container

After Injection:
• Slight bleeding or bruising at site is normal
• Massage area gently
• Resume normal activities
• Record injection date and site

Storage:
• Store testosterone at room temperature
• Protect from light
• Keep out of reach of children","Ongoing treatment","• Signs of infection at injection site (redness, warmth, swelling, pus)
• Severe pain at injection site
• Allergic reaction (rash, difficulty breathing, swelling)
• Chest pain or shortness of breath
• Sudden severe headache
• Vision changes","Regular blood work every 3-6 months to monitor testosterone levels and ensure safe, effective treatment.","","","","","","","69593d53c98b3add2b7ee778","2026-01-03T16:01:23.416000","2026-01-03T16:01:23.416000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
